"Room","Building","Weekday","Availability","Effective Start Date","Effective End Date","Status","Capacity","Type","Features","Online Room","Hide in Scheduling","Notes"
"BX1260","BRONX","Wednesday","8:00AM-10:30AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Wednesday","12:30PM-3:15PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Wednesday","5:35PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Thursday","8:00AM-9:00AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Thursday","12:00PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Friday","8:00AM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Saturday","8:00AM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260-70","BRONX","Sunday","8:00AM-10:00PM","","","Active","106","classroom","Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","true",""
"BX1260-70","BRONX","Monday","8:00AM-10:00PM","","","Active","106","classroom","Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","true",""
"BX1260-70","BRONX","Tuesday","8:00AM-10:00PM","","","Active","106","classroom","Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","true",""
"BX1260-70","BRONX","Wednesday","8:00AM-10:00PM","","","Active","106","classroom","Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","true",""
"BX1260-70","BRONX","Thursday","8:00AM-10:00PM","","","Active","106","classroom","Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","true",""
"BX1260-70","BRONX","Friday","8:00AM-10:00PM","","","Active","106","classroom","Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","true",""
"BX1260-70","BRONX","Saturday","8:00AM-10:00PM","","","Active","106","classroom","Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","true",""
"BX1270","BRONX","Sunday","8:00AM-8:30AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Sunday","10:30AM-10:50AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Sunday","12:50PM-1:15PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Sunday","3:05PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Monday","8:00AM-4:20PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Monday","5:40PM-6:15PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Monday","7:35PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Tuesday","8:00AM-8:30AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Tuesday","12:30PM-12:35PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Tuesday","4:35PM-6:15PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Tuesday","9:05PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Wednesday","8:00AM-11:40AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Wednesday","2:30PM-4:20PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Wednesday","5:40PM-6:15PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Wednesday","7:35PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Thursday","8:00AM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Friday","8:00AM-11:40AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Friday","2:30PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1270","BRONX","Saturday","8:00AM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1295","BRONX","Sunday","8:00AM-10:00PM","","","Active","154","classroom","Carpet, Furniture - Coat Rack, Furniture - Instructor's Podium, Furniture - Seating (theatre style), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets, Stage, Technology - AV technology Space, Technology - Level 2, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Technology - TV / DVD, Technology - Video Conference Capabilities, Technology - Wireless Connection Pods","false","false",""
"BX1295","BRONX","Monday","8:00AM-10:00PM","","","Active","154","classroom","Carpet, Furniture - Coat Rack, Furniture - Instructor's Podium, Furniture - Seating (theatre style), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets, Stage, Technology - AV technology Space, Technology - Level 2, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Technology - TV / DVD, Technology - Video Conference Capabilities, Technology - Wireless Connection Pods","false","false",""
"BX1295","BRONX","Tuesday","8:00AM-10:00PM","","","Active","154","classroom","Carpet, Furniture - Coat Rack, Furniture - Instructor's Podium, Furniture - Seating (theatre style), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets, Stage, Technology - AV technology Space, Technology - Level 2, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Technology - TV / DVD, Technology - Video Conference Capabilities, Technology - Wireless Connection Pods","false","false",""
"BX1295","BRONX","Wednesday","8:00AM-10:00PM","","","Active","154","classroom","Carpet, Furniture - Coat Rack, Furniture - Instructor's Podium, Furniture - Seating (theatre style), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets, Stage, Technology - AV technology Space, Technology - Level 2, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Technology - TV / DVD, Technology - Video Conference Capabilities, Technology - Wireless Connection Pods","false","false",""
"BX1295","BRONX","Thursday","8:00AM-10:00PM","","","Active","154","classroom","Carpet, Furniture - Coat Rack, Furniture - Instructor's Podium, Furniture - Seating (theatre style), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets, Stage, Technology - AV technology Space, Technology - Level 2, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Technology - TV / DVD, Technology - Video Conference Capabilities, Technology - Wireless Connection Pods","false","false",""
"BX1295","BRONX","Friday","8:00AM-10:00PM","","","Active","154","classroom","Carpet, Furniture - Coat Rack, Furniture - Instructor's Podium, Furniture - Seating (theatre style), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets, Stage, Technology - AV technology Space, Technology - Level 2, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Technology - TV / DVD, Technology - Video Conference Capabilities, Technology - Wireless Connection Pods","false","false",""
"BX1295","BRONX","Saturday","8:00AM-10:00PM","","","Active","154","classroom","Carpet, Furniture - Coat Rack, Furniture - Instructor's Podium, Furniture - Seating (theatre style), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets, Stage, Technology - AV technology Space, Technology - Level 2, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Technology - TV / DVD, Technology - Video Conference Capabilities, Technology - Wireless Connection Pods","false","false",""
"BX1310","BRONX","Sunday","8:00AM-10:00PM","","","Active","10","classroom","Furniture - Table (Shared Long Tables), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets","false","true",""
"BX1310","BRONX","Monday","8:00AM-10:00PM","","","Active","10","classroom","Furniture - Table (Shared Long Tables), Furniture - Whiteboard, No Windows, Receptacles/Power Outlets","false","true",""
